(0x0008,0x0001); UL; Length to End; LengthToEnd; 1; RET
(0x0018,0x9471); FL; Table Cradle Tilt; TableCradleTiltAngle; 1; 
(0x0018,0x9472); SQ; Frame Display; FrameDisplayShutterSequence; 1; 
(0x0018,0x9473); FL; Acquired Image Area; AcquiredImageAreaDoseProduct; 1; 
(0x0018,0x9474); CS; Tabletop; CArmPositionerTabletopRelationship; 1; 
(0x0018,0x9476); SQ; X-Ray Geometry; XRayGeometrySequence; 1; 
(0x0018,0x9477); SQ; Identification; IrradiationEventIdentificationSequence; 1; 
(0x0018,0x9504); SQ; X-Ray 3D Frame Type; XRay3DFrameTypeSequence; 1; 
(0x0018,0x9506); SQ; Contributing; ContributingSourcesSequence; 1; 
(0x0018,0x9507); SQ; Acquisition; XRay3DAcquisitionSequence; 1; 
(0x0018,0x9508); FL; Primary Positioner; PrimaryPositionerScanArc; 1; 
(0x0018,0x9509); FL; Secondary; SecondaryPositionerScanArc; 1; 
(0x0018,0x9510); FL; Primary Positioner; PrimaryPositionerScanStartAngle; 1; 
(0x0018,0x9511); FL; Positioner Scan; SecondaryPositionerScanStartAngle; 1; 
(0x0018,0x9514); FL; Primary Positioner; PrimaryPositionerIncrement; 1; 
(0x0018,0x9515); FL; Positioner; SecondaryPositionerIncrement; 1; 
(0x0018,0x9516); DT; Start Acquisition; StartAcquisitionDateTime; 1; 
(0x0018,0x9517); DT; End Acquisition; EndAcquisitionDateTime; 1; 
(0x0018,0x9524); LO; Application Name; ApplicationName; 1; 
(0x0018,0x9525); LO; Application Version; ApplicationVersion; 1; 
(0x0018,0x9526); LO; Application; ApplicationManufacturer; 1; 
(0x0018,0x9527); CS; Algorithm Type; AlgorithmType; 1; 
(0x0018,0x9528); LO; Algorithm; AlgorithmDescription; 1; 
(0x0018,0x9530); SQ; Reconstruction; XRay3DReconstructionSequence; 1; 
(0x0018,0x9531); LO; Reconstruction; ReconstructionDescription; 1; 
(0x0018,0x9538); SQ; Acquisition; PerProjectionAcquisitionSequence; 1; 
(0x0018,0x9601); SQ; Diffusion b-matrix; DiffusionBMatrixSequence; 1; 
(0x0018,0x9602); FD; Diffusion b-value; DiffusionBValueXX; 1; 
(0x0018,0x9603); FD; Diffusion b-value; DiffusionBValueXY; 1; 
(0x0018,0x9604); FD; Diffusion b-value; DiffusionBValueXZ; 1; 
(0x0018,0x9605); FD; Diffusion b-value; DiffusionBValueYY; 1; 
(0x0018,0x9606); FD; Diffusion b-value; DiffusionBValueYZ; 1; 
(0x0018,0x9607); FD; Diffusion b-value; DiffusionBValueZZ; 1; 
(0x0018,0x9701); DT; Decay Correction; DecayCorrectionDateTime; 1; 
(0x0018,0x9715); FD; Start Density; StartDensityThreshold; 1; 
(0x0018,0x9716); FD; Density Difference; StartRelativeDensityDifferenceThreshold; 1; 
(0x0018,0x9717); FD; Trigger Count; StartCardiacTriggerCountThreshold; 1; 
(0x0018,0x9718); FD; Trigger Count; StartRespiratoryTriggerCountThreshold; 1; 
(0x0018,0x9719); FD; Termination Counts; TerminationCountsThreshold; 1; 
(0x0018,0x9720); FD; Termination Density; TerminationDensityThreshold; 1; 
(0x0018,0x9721); FD; Relative Density; TerminationRelativeDensityThreshold; 1; 
(0x0018,0x9722); FD; Termination Time; TerminationTimeThreshold; 1; 
(0x0018,0x9723); FD; Trigger Count; TerminationCardiacTriggerCountThreshold; 1; 
(0x0018,0x9724); FD; Respiratory Trigger; TerminationRespiratoryTriggerCountThreshold; 1; 
(0x0018,0x9725); CS; Detector Geometry; DetectorGeometry; 1; 
(0x0018,0x9726); FD; Transverse Detector; TransverseDetectorSeparation; 1; 
(0x0018,0x9727); FD; Axial Detector; AxialDetectorDimension; 1; 
(0x0018,0x9729); US; Radiopharmaceutical; RadiopharmaceuticalAgentNumber; 1; 
(0x0018,0x9732); SQ; Acquisition; PETFrameAcquisitionSequence; 1; 
(0x0018,0x9733); SQ; PET Detector Motion; PETDetectorMotionDetailsSequence; 1; 
(0x0018,0x9734); SQ; PET Table Dynamics; PETTableDynamicsSequence; 1; 
(0x0018,0x9735); SQ; PET Position; PETPositionSequence; 1; 
(0x0018,0x9736); SQ; Correction Factors; PETFrameCorrectionFactorsSequence; 1; 
(0x0018,0x9737); SQ; Radiopharmaceutical; RadiopharmaceuticalUsageSequence; 1; 
(0x0018,0x9738); CS; Attenuation; AttenuationCorrectionSource; 1; 
(0x0018,0x9739); US; Number of; NumberOfIterations; 1; 
(0x0018,0x9740); US; Number of Subsets; NumberOfSubsets; 1; 
(0x0018,0x9749); SQ; PET Reconstruction; PETReconstructionSequence; 1; 
(0x0018,0x9751); SQ; PET Frame Type; PETFrameTypeSequence; 1; 
(0x0018,0x9755); CS; Time of Flight; TimeOfFlightInformationUsed; 1; 
(0x0018,0x9756); CS; Reconstruction Type; ReconstructionType; 1; 
(0x0018,0x9758); CS; Decay Corrected; DecayCorrected; 1; 
(0x0018,0x9759); CS; Attenuation; AttenuationCorrected; 1; 
(0x0018,0x9760); CS; Scatter Corrected; ScatterCorrected; 1; 
(0x0018,0x9761); CS; Dead Time Corrected; DeadTimeCorrected; 1; 
(0x0018,0x9762); CS; Gantry Motion; GantryMotionCorrected; 1; 
(0x0018,0x9763); CS; Patient Motion; PatientMotionCorrected; 1; 
(0x0018,0x9764); CS; Normalization; CountLossNormalizationCorrected; 1; 
(0x0018,0x9765); CS; Randoms Corrected; RandomsCorrected; 1; 
(0x0018,0x9766); CS; Non-uniform Radial; NonUniformRadialSamplingCorrected; 1; 
(0x0018,0x9767); CS; Sensitivity; SensitivityCalibrated; 1; 
(0x0018,0x9768); CS; Normalization; DetectorNormalizationCorrection; 1; 
(0x0018,0x9769); CS; Reconstruction; IterativeReconstructionMethod; 1; 
(0x0018,0x9770); CS; Correction Temporal; AttenuationCorrectionTemporalRelationship; 1; 
(0x0018,0x9771); SQ; Physiological State; PatientPhysiologicalStateSequence; 1; 
(0x0018,0x9772); SQ; Physiological State; PatientPhysiologicalStateCodeSequence; 1; 
(0x0018,0x9801); FD; Depth(s) of Focus; DepthsOfFocus; 1-; 
(0x0018,0x9803); SQ; Excluded Intervals; ExcludedIntervalsSequence; 1; 
(0x0018,0x9804); DT; Exclusion Start; ExclusionStartDatetime; 1; 
(0x0018,0x9805); FD; Exclusion Duration; ExclusionDuration; 1; 
(0x0018,0x9806); SQ; Description; USImageDescriptionSequence; 1; 
(0x0018,0x9807); SQ; Image Data Type; ImageDataTypeSequence; 1; 
(0x0018,0x9808); CS; Data Type; DataType; 1; 
(0x0018,0x9809); SQ; Pattern Code; TransducerScanPatternCodeSequence; 1; 
(0x0018,0x980B); CS; Aliased Data Type; AliasedDataType; 1; 
(0x0018,0x980C); CS; Position Measuring; PositionMeasuringDeviceUsed; 1; 
(0x0018,0x980D); SQ; Transducer Geometry; TransducerGeometryCodeSequence; 1; 
(0x0018,0x980E); SQ; Steering Code; TransducerBeamSteeringCodeSequence; 1; 
(0x0018,0x980F); SQ; Application Code; TransducerApplicationCodeSequence; 1; 
(0x0018,0xA001); SQ; Contributing; ContributingEquipmentSequence; 1; 
(0x0018,0xA002); DT; Contribution Date; ContributionDateTime; 1; 
(0x0018,0xA003); ST; Contribution; ContributionDescription; 1; 
(0x0020,0x000D); UI; Study Instance UID; StudyInstanceUID; 1; 
(0x0020,0x000E); UI; Series Instance UID; SeriesInstanceUID; 1; 
(0x0020,0x0010); SH; Study ID; StudyID; 1; 
(0x0020,0x0011); IS; Series Number; SeriesNumber; 1; 
(0x0020,0x0012); IS; Acquisition Number; AcquisitionNumber; 1; 
(0x0020,0x0013); IS; Instance Number; InstanceNumber; 1; 
(0x0020,0x0014); IS; Isotope Number; IsotopeNumber; 1; RET
(0x0020,0x0015); IS; Phase Number; PhaseNumber; 1; RET
(0x0020,0x0016); IS; Interval Number; IntervalNumber; 1; RET
(0x0020,0x0017); IS; Time Slot Number; TimeSlotNumber; 1; RET
(0x0020,0x0018); IS; Angle Number; AngleNumber; 1; RET
(0x0020,0x0019); IS; Item Number; ItemNumber; 1; 
(0x0020,0x0020); CS; Patient Orientation; PatientOrientation; 2; 
(0x0020,0x0022); IS; Overlay Number; OverlayNumber; 1; RET
(0x0020,0x0024); IS; Curve Number; CurveNumber; 1; RET
(0x0020,0x0026); IS; LUT Number; LUTNumber; 1; RET
(0x0020,0x0030); DS; Image Position; ImagePosition; 3; RET
(0x0020,0x0032); DS; Image Position; ImagePositionPatient; 3; 
(0x0020,0x0035); DS; Image Orientation; ImageOrientation; 6; RET
(0x0020,0x0037); DS; Image Orientation; ImageOrientationPatient; 6; 
(0x0020,0x0050); DS; Location; Location; 1; RET
(0x0020,0x0052); UI; Frame of Reference; FrameOfReferenceUID; 1; 
(0x0020,0x0060); CS; Laterality; Laterality; 1; 
(0x0020,0x0062); CS; Image Laterality; ImageLaterality; 1; 
(0x0020,0x0070); LO; Image Geometry Type; ImageGeometryType; 1; RET
(0x0020,0x0080); CS; Masking Image; MaskingImage; 1-; RET
(0x0020,0x00AA); IS; Report Number; ReportNumber; 1; RET
(0x0020,0x0100); IS; Temporal Position; TemporalPositionIdentifier; 1; 
(0x0020,0x0105); IS; Number of Temporal; NumberOfTemporalPositions; 1; 
(0x0020,0x0110); DS; Temporal Resolution; TemporalResolution; 1; 
(0x0020,0x0200); UI; Frame of Reference; SynchronizationFrameOfReferenceUID; 1; 
(0x0020,0x0242); UI; Concatenation; SOPInstanceUIDOfConcatenationSource; 1; 
(0x0020,0x1000); IS; Series in Study; SeriesInStudy; 1; RET
(0x0020,0x1001); IS; Acquisitions in; AcquisitionsInSeries; 1; RET
(0x0020,0x1002); IS; Images in; ImagesInAcquisition; 1; 
(0x0020,0x1003); IS; Images in Series; ImagesInSeries; 1; RET
(0x0020,0x1004); IS; Acquisitions in; AcquisitionsInStudy; 1; RET
(0x0020,0x1005); IS; Images in Study; ImagesInStudy; 1; RET
(0x0020,0x1020); LO; Reference; Reference; 1-; RET
(0x0020,0x1040); LO; Position Reference; PositionReferenceIndicator; 1; 
(0x0020,0x1041); DS; Slice Location; SliceLocation; 1; 
(0x0020,0x1070); IS; Other Study Numbers; OtherStudyNumbers; 1-; RET
(0x0020,0x1200); IS; Number of Patient; NumberOfPatientRelatedStudies; 1; 
(0x0020,0x1202); IS; Number of Patient; NumberOfPatientRelatedSeries; 1; 
(0x0020,0x1204); IS; Number of Patient; NumberOfPatientRelatedInstances; 1; 
(0x0020,0x1206); IS; Number of Study; NumberOfStudyRelatedSeries; 1; 
(0x0020,0x1208); IS; Number of Study; NumberOfStudyRelatedInstances; 1; 
(0x0020,0x1209); IS; Number of Series; NumberOfSeriesRelatedInstances; 1; 
(0x0020,0x3100); CS; Source Image IDs; SourceImageIDs; 1-; RET
(0x0020,0x3401); CS; Modifying Device ID; ModifyingDeviceID; 1; RET
(0x0020,0x3402); CS; Modified Image ID; ModifiedImageID; 1; RET
(0x0020,0x3403); DA; Modified Image Date; ModifiedImageDate; 1; RET
(0x0020,0x3404); LO; Modifying Device; ModifyingDeviceManufacturer; 1; RET
(0x0020,0x3405); TM; Modified Image Time; ModifiedImageTime; 1; RET
(0x0020,0x3406); LO; Modified Image; ModifiedImageDescription; 1; RET
(0x0020,0x4000); LT; Image Comments; ImageComments; 1; 
(0x0020,0x5000); AT; Original Image; OriginalImageIdentification; 1-; RET
(0x0020,0x5002); LO; Identification; OriginalImageIdentificationNomenclature; n; RET
(0x0020,0x9056); SH; Stack ID; StackID; 1; 
(0x0020,0x9057); UL; In-Stack Position; InStackPositionNumber; 1; 
(0x0020,0x9071); SQ; Frame Anatomy; FrameAnatomySequence; 1; 
(0x0020,0x9072); CS; Frame Laterality; FrameLaterality; 1; 
(0x0020,0x9111); SQ; Frame Content; FrameContentSequence; 1; 
(0x0020,0x9113); SQ; Plane Position; PlanePositionSequence; 1; 
(0x0020,0x9116); SQ; Plane Orientation; PlaneOrientationSequence; 1; 
(0x0020,0x9128); UL; Temporal Position; TemporalPositionIndex; 1; 
(0x0020,0x9153); FD; Nominal Cardiac; NominalCardiacTriggerDelayTime; 1; 
(0x0020,0x9154); FL; Trigger Time Prior; NominalCardiacTriggerTimePriorToRPeak; 1; 
(0x0020,0x9155); FL; Trigger Time Prior; ActualCardiacTriggerTimePriorToRPeak; 1; 
(0x0020,0x9156); US; Frame Acquisition; FrameAcquisitionNumber; 1; 
(0x0020,0x9157); UL; Dimension Index; DimensionIndexValues; 1-; 
(0x0020,0x9158); LT; Frame Comments; FrameComments; 1; 
(0x0020,0x9161); UI; Concatenation UID; ConcatenationUID; 1; 
(0x0020,0x9162); US; In-concatenation; InConcatenationNumber; 1; 
(0x0020,0x9163); US; In-concatenation; InConcatenationTotalNumber; 1; 
(0x0020,0x9164); UI; Dimension; DimensionOrganizationUID; 1; 
(0x0020,0x9165); AT; Dimension Index; DimensionIndexPointer; 1; 
(0x0020,0x9167); AT; Functional Group; FunctionalGroupPointer; 1; 
(0x0020,0x9213); LO; Dimension Index; DimensionIndexPrivateCreator; 1; 
(0x0020,0x9221); SQ; Organization; DimensionOrganizationSequence; 1; 
(0x0020,0x9222); SQ; Dimension Index; DimensionIndexSequence; 1; 
(0x0020,0x9228); UL; Concatenation Frame; ConcatenationFrameOffsetNumber; 1; 
(0x0020,0x9238); LO; Functional Group; FunctionalGroupPrivateCreator; 1; 
(0x0020,0x9241); FL; Nominal Percentage; NominalPercentageOfCardiacPhase; 1; 
(0x0020,0x9245); FL; of Respiratory; NominalPercentageOfRespiratoryPhase; 1; 
(0x0020,0x9246); FL; Respiratory; StartingRespiratoryAmplitude; 1; 
(0x0020,0x9247); CS; Starting; StartingRespiratoryPhase; 1; 
(0x0020,0x9248); FL; Ending Respiratory; EndingRespiratoryAmplitude; 1; 
(0x0020,0x9249); CS; Ending Respiratory; EndingRespiratoryPhase; 1; 
(0x0020,0x9250); CS; Respiratory Trigger; RespiratoryTriggerType; 1; 
(0x0020,0x9251); FD; R-R Interval Time; RRIntervalTimeNominal; 1; 
(0x0020,0x9252); FD; Actual Cardiac; ActualCardiacTriggerDelayTime; 1; 
(0x0020,0x9253); SQ; Synchronization; RespiratorySynchronizationSequence; 1; 
(0x0020,0x9254); FD; Respiratory; RespiratoryIntervalTime; 1; 
(0x0020,0x9255); FD; Nominal Respiratory; NominalRespiratoryTriggerDelayTime; 1; 
(0x0020,0x9256); FD; Respiratory Trigger; RespiratoryTriggerDelayThreshold; 1; 
(0x0020,0x9257); FD; Actual Respiratory; ActualRespiratoryTriggerDelayTime; 1; 
(0x0020,0x9301); FD; Image Position; ImagePositionVolume; 3; 
(0x0020,0x9302); FD; Image Orientation; ImageOrientationVolume; 6; 
(0x0020,0x9307); CS; Acquisition; UltrasoundAcquisitionGeometry; 1; 
(0x0020,0x9308); FD; Apex Position; ApexPosition; 3; 
(0x0020,0x9309); FD; Transducer Mapping; VolumeToTransducerMappingMatrix; 16; 
(0x0020,0x930A); FD; Volume to Table; VolumeToTableMappingMatrix; 16; 
(0x0020,0x930C); CS; Patient Frame of; PatientFrameOfReferenceSource; 1; 
(0x0020,0x930D); FD; Temporal Position; TemporalPositionTimeOffset; 1; 
(0x0020,0x930E); SQ; Plane Position; PlanePositionVolumeSequence; 1; 
(0x0020,0x930F); SQ; Plane Orientation; PlaneOrientationVolumeSequence; 1; 
(0x0020,0x9310); SQ; Temporal Position; TemporalPositionSequence; 1; 
(0x0020,0x9311); CS; Dimension; DimensionOrganizationType; 1; 
(0x0020,0x9312); UI; Volume Frame of; VolumeFrameOfReferenceUID; 1; 
(0x0020,0x9313); UI; Table Frame of; TableFrameOfReferenceUID; 1; 
(0x0020,0x9421); LO; Dimension; DimensionDescriptionLabel; 1; 
(0x0020,0x9450); SQ; Patient Orientation; PatientOrientationInFrameSequence; 1; 
(0x0020,0x9453); LO; Frame Label; FrameLabel; 1; 
(0x0020,0x9518); US; Acquisition Index; AcquisitionIndex; 1-; 
(0x0020,0x9529); SQ; Instances Reference; ContributingSOPInstancesReferenceSequence; 1; 
(0x0020,0x9536); US; Reconstruction; ReconstructionIndex; 1; 
(0x0022,0x0001); US; Pass-Through; LightPathFilterPassThroughWavelength; 1; 
(0x0022,0x0002); US; Light Path Filter; LightPathFilterPassBand; 2; 
(0x0022,0x0003); US; Pass-Through; ImagePathFilterPassThroughWavelength; 1; 
(0x0022,0x0004); US; Image Path Filter; ImagePathFilterPassBand; 2; 
(0x0022,0x0005); CS; Patient Eye; PatientEyeMovementCommanded; 1; 
(0x0022,0x0006); SQ; Movement Command; PatientEyeMovementCommandCodeSequence; 1; 
(0x0022,0x0007); FL; Spherical Lens; SphericalLensPower; 1; 
(0x0022,0x0008); FL; Cylinder Lens Power; CylinderLensPower; 1; 
(0x0022,0x0009); FL; Cylinder Axis; CylinderAxis; 1; 
(0x0022,0x000A); FL; Emmetropic; EmmetropicMagnification; 1; 
(0x0022,0x000B); FL; Intra Ocular; IntraOcularPressure; 1; 
(0x0022,0x000C); FL; Horizontal Field of; HorizontalFieldOfView; 1; 
(0x0022,0x000D); CS; Pupil Dilated; PupilDilated; 1; 
(0x0022,0x000E); FL; Degree of Dilation; DegreeOfDilation; 1; 
(0x0022,0x0010); FL; Stereo Baseline; StereoBaselineAngle; 1; 
(0x0022,0x0011); FL; Stereo Baseline; StereoBaselineDisplacement; 1; 
(0x0022,0x0012); FL; Stereo Horizontal; StereoHorizontalPixelOffset; 1; 
(0x0022,0x0013); FL; Stereo Vertical; StereoVerticalPixelOffset; 1; 
(0x0022,0x0014); FL; Stereo Rotation; StereoRotation; 1; 
(0x0022,0x0015); SQ; Acquisition Device; AcquisitionDeviceTypeCodeSequence; 1; 
(0x0022,0x0016); SQ; Illumination Type; IlluminationTypeCodeSequence; 1; 
(0x0022,0x0017); SQ; Type Stack Code; LightPathFilterTypeStackCodeSequence; 1; 
(0x0022,0x0018); SQ; Type Stack Code; ImagePathFilterTypeStackCodeSequence; 1; 
(0x0022,0x0019); SQ; Lenses Code; LensesCodeSequence; 1; 
(0x0022,0x001A); SQ; Channel Description; ChannelDescriptionCodeSequence; 1; 
(0x0022,0x001B); SQ; Refractive State; RefractiveStateSequence; 1; 
(0x0022,0x001C); SQ; Mydriatic Agent; MydriaticAgentCodeSequence; 1; 
(0x0022,0x001D); SQ; Position Code; RelativeImagePositionCodeSequence; 1; 
(0x0022,0x001E); FL; Camera Angle of; CameraAngleOfView; 1; 
(0x0022,0x0020); SQ; Stereo Pairs; StereoPairsSequence; 1; 
(0x0022,0x0021); SQ; Left Image Sequence; LeftImageSequence; 1; 
(0x0022,0x0022); SQ; Right Image; RightImageSequence; 1; 
(0x0022,0x0030); FL; Axial Length of the; AxialLengthOfTheEye; 1; 
(0x0022,0x0031); SQ; Ophthalmic Frame; OphthalmicFrameLocationSequence; 1; 
(0x0022,0x0032); FL; Reference; ReferenceCoordinates; 2-; 
(0x0022,0x0035); FL; Depth Spatial; DepthSpatialResolution; 1; 
(0x0022,0x0036); FL; Maximum Depth; MaximumDepthDistortion; 1; 
(0x0022,0x0037); FL; Along-scan Spatial; AlongScanSpatialResolution; 1; 
(0x0022,0x0038); FL; Maximum Along-scan; MaximumAlongScanDistortion; 1; 
(0x0022,0x0039); CS; Ophthalmic Image; OphthalmicImageOrientation; 1; 
(0x0022,0x0041); FL; Depth of Transverse; DepthOfTransverseImage; 1; 
(0x0022,0x0042); SQ; Concentration Units; MydriaticAgentConcentrationUnitsSequence; 1; 
(0x0022,0x0048); FL; Across-scan Spatial; AcrossScanSpatialResolution; 1; 
(0x0022,0x0049); FL; Maximum Across-scan; MaximumAcrossScanDistortion; 1; 
(0x0022,0x004E); DS; Mydriatic Agent; MydriaticAgentConcentration; 1; 
(0x0022,0x0055); FL; Illumination Wave; IlluminationWaveLength; 1; 
(0x0022,0x0056); FL; Illumination Power; IlluminationPower; 1; 
(0x0022,0x0057); FL; Illumination; IlluminationBandwidth; 1; 
(0x0022,0x0058); SQ; Mydriatic Agent; MydriaticAgentSequence; 1; 
(0x0022,0x1007); SQ; Measurements Right; OphthalmicAxialMeasurementsRightEyeSequence; 1; 
(0x0022,0x1008); SQ; Measurements Left; OphthalmicAxialMeasurementsLeftEyeSequence; 1; 
(0x0022,0x1010); CS; Length Measurements; OphthalmicAxialLengthMeasurementsType; 1; 
(0x0022,0x1019); FL; Ophthalmic Axial; OphthalmicAxialLength; 1; 
(0x0022,0x1024); SQ; Lens Status Code; LensStatusCodeSequence; 1; 
(0x0022,0x1025); SQ; Vitreous Status; VitreousStatusCodeSequence; 1; 
(0x0022,0x1028); SQ; IOL Formula Code; IOLFormulaCodeSequence; 1; 
(0x0022,0x1029); LO; IOL Formula Detail; IOLFormulaDetail; 1; 
(0x0022,0x1033); FL; Keratometer Index; KeratometerIndex; 1; 
(0x0022,0x1035); SQ; Ophthalmic Axial; SourceOfOphthalmicAxialLengthCodeSequence; 1; 
(0x0022,0x1037); FL; Target Refraction; TargetRefraction; 1; 
(0x0022,0x1039); CS; Refractive; RefractiveProcedureOccurred; 1; 
(0x0022,0x1040); SQ; Refractive Surgery; RefractiveSurgeryTypeCodeSequence; 1; 
(0x0022,0x1044); SQ; Ultrasound Axial; OphthalmicUltrasoundAxialMeasurementsTypeCodeSequence; 1; 
(0x0022,0x1050); SQ; Length Measurements; OphthalmicAxialLengthMeasurementsSequence; 1; 
(0x0022,0x1053); FL; IOL Power; IOLPower; 1; 
(0x0022,0x1054); FL; Predicted; PredictedRefractiveError; 1; 
(0x0022,0x1059); FL; Ophthalmic Axial; OphthalmicAxialLengthVelocity; 1; 
(0x0022,0x1065); LO; Lens Status; LensStatusDescription; 1; 
(0x0022,0x1066); LO; Vitreous Status; VitreousStatusDescription; 1; 
(0x0022,0x1090); SQ; IOL Power Sequence; IOLPowerSequence; 1; 
(0x0022,0x1092); SQ; Lens Constant; LensConstantSequence; 1; 
(0x0022,0x1093); LO; IOL Manufacturer; IOLManufacturer; 1; 
(0x0022,0x1094); LO; Lens Constant; LensConstantDescription; 1; 
(0x0022,0x1096); SQ; Measurement Type; KeratometryMeasurementTypeCodeSequence; 1; 
(0x0022,0x1100); SQ; Ophthalmic Axial; ReferencedOphthalmicAxialMeasurementsSequence; 1; 
(0x0022,0x1101); SQ; Length Measurements; OphthalmicAxialLengthMeasurementsSegmentNameCodeSequence; 1; 
(0x0022,0x1103); SQ; Before Refractive; RefractiveErrorBeforeRefractiveSurgeryCodeSequence; 1; 
(0x0022,0x1121); FL; IOL Power For Exact; IOLPowerForExactEmmetropia; 1; 
(0x0022,0x1122); FL; IOL Power For Exact; IOLPowerForExactTargetRefraction; 1; 
(0x0022,0x1125); SQ; Depth Definition; AnteriorChamberDepthDefinitionCodeSequence; 1; 
(0x0022,0x1130); FL; Lens Thickness; LensThickness; 1; 
(0x0022,0x1131); FL; Anterior Chamber; AnteriorChamberDepth; 1; 
(0x0022,0x1132); SQ; Thickness Data Code; SourceOfLensThicknessDataCodeSequence; 1; 
(0x0022,0x1133); SQ; Chamber Depth Data; SourceOfAnteriorChamberDepthDataCodeSequence; 1; 
(0x0022,0x1135); SQ; Refractive Error; SourceOfRefractiveErrorDataCodeSequence; 1; 
(0x0022,0x1140); CS; Length Measurement; OphthalmicAxialLengthMeasurementModified; 1; 
(0x0022,0x1150); SQ; Length Data Source; OphthalmicAxialLengthDataSourceCodeSequence; 1; 
(0x0022,0x1153); SQ; Length Acquisition; OphthalmicAxialLengthAcquisitionMethodCodeSequence; 1; 
(0x0022,0x1155); FL; Signal to Noise; SignalToNoiseRatio; 1; 
(0x0022,0x1159); LO; Length Data Source; OphthalmicAxialLengthDataSourceDescription; 1; 
(0x0022,0x1210); SQ; Length Measurements; OphthalmicAxialLengthMeasurementsTotalLengthSequence; 1; 
(0x0022,0x1211); SQ; Length Measurements; OphthalmicAxialLengthMeasurementsSegmentalLengthSequence; 1; 
(0x0022,0x1212); SQ; Length Measurements; OphthalmicAxialLengthMeasurementsLengthSummationSequence; 1; 
(0x0022,0x1220); SQ; Ophthalmic Axial; UltrasoundOphthalmicAxialLengthMeasurementsSequence; 1; 
(0x0022,0x1225); SQ; Axial Length; OpticalOphthalmicAxialLengthMeasurementsSequence; 1; 
(0x0022,0x1230); SQ; Ophthalmic Axial; UltrasoundSelectedOphthalmicAxialLengthSequence; 1; 
(0x0022,0x1250); SQ; Length Selection; OphthalmicAxialLengthSelectionMethodCodeSequence; 1; 
(0x0022,0x1255); SQ; Ophthalmic Axial; OpticalSelectedOphthalmicAxialLengthSequence; 1; 
(0x0022,0x1257); SQ; Ophthalmic Axial; SelectedSegmentalOphthalmicAxialLengthSequence; 1; 
(0x0022,0x1260); SQ; Ophthalmic Axial; SelectedTotalOphthalmicAxialLengthSequence; 1; 
(0x0022,0x1262); SQ; Length Quality; OphthalmicAxialLengthQualityMetricSequence; 1; 
(0x0022,0x1273); LO; Length Quality; OphthalmicAxialLengthQualityMetricTypeDescription; 1; 
(0x0022,0x1300); SQ; Calculations Right; IntraocularLensCalculationsRightEyeSequence; 1; 
(0x0022,0x1310); SQ; Calculations Left; IntraocularLensCalculationsLeftEyeSequence; 1; 
(0x0022,0x1330); SQ; Ophthalmic Axial; ReferencedOphthalmicAxialLengthMeasurementQCImageSequence; 1; 
(0x0024,0x0010); FL; Visual Field; VisualFieldHorizontalExtent; 1; 
(0x0024,0x0011); FL; Visual Field; VisualFieldVerticalExtent; 1; 
(0x0024,0x0012); CS; Visual Field Shape; VisualFieldShape; 1; 
(0x0024,0x0016); SQ; Screening Test Mode; ScreeningTestModeCodeSequence; 1; 
(0x0024,0x0018); FL; Maximum Stimulus; MaximumStimulusLuminance; 1; 
(0x0024,0x0020); FL; Background; BackgroundLuminance; 1; 
(0x0024,0x0021); SQ; Stimulus Color Code; StimulusColorCodeSequence; 1; 
(0x0024,0x0024); SQ; Illumination Color; BackgroundIlluminationColorCodeSequence; 1; 
(0x0024,0x0025); FL; Stimulus Area; StimulusArea; 1; 
(0x0024,0x0028); FL; Stimulus; StimulusPresentationTime; 1; 
(0x0024,0x0032); SQ; Fixation Sequence; FixationSequence; 1; 
(0x0024,0x0033); SQ; Fixation Monitoring; FixationMonitoringCodeSequence; 1; 
(0x0024,0x0034); SQ; Visual Field Catch; VisualFieldCatchTrialSequence; 1; 
(0x0024,0x0035); US; Fixation Checked; FixationCheckedQuantity; 1; 
(0x0024,0x0036); US; Properly Fixated; PatientNotProperlyFixatedQuantity; 1; 
(0x0024,0x0037); CS; Presented Visual; PresentedVisualStimuliDataFlag; 1; 
(0x0024,0x0038); US; Number of Visual; NumberOfVisualStimuli; 1; 
(0x0024,0x0039); CS; Excessive Fixation; ExcessiveFixationLossesDataFlag; 1; 
(0x0024,0x0040); CS; Excessive Fixation; ExcessiveFixationLosses; 1; 
(0x0024,0x0042); US; Stimuli Retesting; StimuliRetestingQuantity; 1; 
(0x0024,0x0044); LT; Patients; CommentsOnPatientPerformanceOfVisualField; 1; 
(0x0024,0x0045); CS; False Negatives; FalseNegativesEstimateFlag; 1; 
(0x0024,0x0046); FL; False Negatives; FalseNegativesEstimate; 1; 
(0x0024,0x0048); US; Negative Catch; NegativeCatchTrialsQuantity; 1; 
(0x0024,0x0050); US; False Negatives; FalseNegativesQuantity; 1; 
(0x0024,0x0051); CS; Excessive False; ExcessiveFalseNegativesDataFlag; 1; 
(0x0024,0x0052); CS; Excessive False; ExcessiveFalseNegatives; 1; 
(0x0024,0x0053); CS; False Positives; FalsePositivesEstimateFlag; 1; 
(0x0024,0x0054); FL; False Positives; FalsePositivesEstimate; 1; 
(0x0024,0x0055); CS; Catch Trials Data; CatchTrialsDataFlag; 1; 
(0x0024,0x0056); US; Positive Catch; PositiveCatchTrialsQuantity; 1; 
